llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo
90727502101.0,90727502,907275021,9,9,51,2,Mujer,3.0,2,No tiene discapacidad,1,66.66666666666666,65.66666666666666,0.0,0.0,1.0,0.0,63.0,0.0,3740,1,1,0,0,1,0,1,0
91581001103.0,91581001,915810011,9,9,26,2,Mujer,2.0,2,No tiene discapacidad,5,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4833,1,0,0,0,1,0,0,0
90671402101.0,90671402,906714021,9,9,58,1,Hombre,2.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,7.0,0.0,56.0,0.0,4687,1,0,0,0,1,0,1,0
90671402102.0,90671402,906714021,9,9,58,2,Mujer,2.0,2,No tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4556,0,0,0,0,0,0,0,0
90671402103.0,90671402,906714021,9,9,13,1,Hombre,2.0,2,No tiene discapacidad,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4687,0,0,0,0,0,0,0,0
90671402104.0,90671402,906714021,9,9,30,2,Mujer,3.0,2,No tiene discapacidad,1,2.0,0.0,0.0,2.0,0.0,0.0,123.0,0.0,4608,1,0,0,1,0,0,1,0
90671403101.0,90671403,906714031,9,9,24,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,4737,0,0,0,0,0,0,1,0
90671404101.0,90671404,906714041,9,9,42,1,Hombre,3.0,1,Sí tiene discapacidad,1,2.66666666666666,0.0,0.0,0.0,2.66666666666666,0.0,96.0,0.0,4755,1,0,0,0,1,0,1,0
90688001101.0,90688001,906880011,9,9,63,1,Hombre,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4058,0,0,0,0,0,0,1,0
90688001102.0,90688001,906880011,9,9,58,2,Mujer,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3984,0,0,0,0,0,0,0,0
90688002101.0,90688002,906880021,9,9,71,1,Hombre,2.0,1,Sí tiene discapacidad,1,3.0,0.0,0.0,0.0,0.0,3.0,63.0,0.0,4032,1,0,0,0,0,1,1,0
90688002102.0,90688002,906880021,9,9,66,2,Mujer,2.0,2,No tiene discapacidad,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4053,0,0,0,0,0,0,0,0
