llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
90679304101.0,90679304,906793041,9,9,44,2,Mujer,2.0,2,No tiene discapacidad,1,12.5,0.0,0.0,12.5,0.0,0.0,12.0,0.0,4639,1,0,0,1,0,0,1,0,1,12.5,12.0,1,1
90679304103.0,90679304,906793041,9,9,22,1,Hombre,4.0,2,No tiene discapacidad,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,4776,1,0,0,1,0,0,0,1,1,1.0,0.0,0,0
91597904101.0,91597904,915979041,9,9,63,1,Hombre,2.0,1,Sí tiene discapacidad,6,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4626,1,0,0,0,1,0,0,0,1,8.0,0.0,0,0
91597904102.0,91597904,915979041,9,9,58,2,Mujer,2.0,2,No tiene discapacidad,1,7.5,7.5,0.0,0.0,0.0,0.0,30.0,0.0,4542,1,1,0,0,0,0,1,0,1,7.5,30.0,1,1
91597905102.0,91597905,915979051,9,9,29,2,Mujer,2.0,2,No tiene discapacidad,1,17.66666666666666,0.0,0.0,17.16666666666666,0.5,0.0,25.0,0.0,4618,1,0,0,1,1,0,1,0,1,17.66666666666666,25.0,1,1
91597905103.0,91597905,915979051,9,9,26,2,Mujer,3.0,2,No tiene discapacidad,5,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4618,1,0,0,0,1,0,0,0,1,5.0,0.0,0,0
90727501101.0,90727501,907275011,9,9,56,1,Hombre,4.0,2,No tiene discapacidad,1,17.5,0.0,0.0,0.0,17.5,0.0,29.0,0.0,3786,1,0,0,0,1,0,1,0,1,17.5,29.0,1,1
90727501102.0,90727501,907275011,9,9,21,2,Mujer,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,66.0,0.0,3786,1,0,0,0,1,0,1,0,1,5.0,66.0,1,1
90727501104.0,90727501,907275011,9,9,17,2,Mujer,3.0,2,No tiene discapacidad,4,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3782,1,0,0,0,1,0,0,0,1,7.0,0.0,0,0
90727502101.0,90727502,907275021,9,9,51,2,Mujer,3.0,2,No tiene discapacidad,1,66.66666666666666,65.66666666666666,0.0,0.0,1.0,0.0,63.0,0.0,3740,1,1,0,0,1,0,1,0,1,66.66666666666666,63.0,1,1
91581001103.0,91581001,915810011,9,9,26,2,Mujer,2.0,2,No tiene discapacidad,5,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4833,1,0,0,0,1,0,0,0,1,3.0,0.0,0,0
90671402101.0,90671402,906714021,9,9,58,1,Hombre,2.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,7.0,0.0,56.0,0.0,4687,1,0,0,0,1,0,1,0,1,7.0,56.0,1,1
90671402104.0,90671402,906714021,9,9,30,2,Mujer,3.0,2,No tiene discapacidad,1,2.0,0.0,0.0,2.0,0.0,0.0,123.0,0.0,4608,1,0,0,1,0,0,1,0,1,2.0,123.0,1,1
90671404101.0,90671404,906714041,9,9,42,1,Hombre,3.0,1,Sí tiene discapacidad,1,2.66666666666666,0.0,0.0,0.0,2.66666666666666,0.0,96.0,0.0,4755,1,0,0,0,1,0,1,0,1,2.66666666666666,96.0,1,1
90688002101.0,90688002,906880021,9,9,71,1,Hombre,2.0,1,Sí tiene discapacidad,1,3.0,0.0,0.0,0.0,0.0,3.0,63.0,0.0,4032,1,0,0,0,0,1,1,0,1,3.0,63.0,1,1
90688005101.0,90688005,906880051,9,9,79,1,Hombre,3.0,2,No tiene discapacidad,5,14.75,14.75,0.0,0.0,0.0,0.0,0.0,0.0,4155,1,1,0,0,0,0,0,0,1,14.75,0.0,0,0
91634401101.0,91634401,916344011,9,9,60,1,Hombre,4.0,2,No tiene discapacidad,1,16.33333333333333,0.0,0.0,0.0,4.33333333333333,12.0,55.0,0.0,4189,1,0,0,0,1,1,1,0,1,16.33333333333333,55.0,1,1
